Company Name,Job Posting Time,Number of Applicants,Seniority Level,Company Industry,Detail description,Employment Type,Job Function,Size of Employee,Keyword
Snaphunt,21 hours ago,<25,Associate,,"The Offer Opportunity within an exciting platform A dynamic and diverse work place Great exposure and learning opportunities The Job    Designing and developing data management systems that meet business requirements Processing structured & unstructured data and building predictive models Integrating new technology into data structures Ensuring processes are aligned to industry best practices Exploring new technologies and seeking ways to incorporate them Continuously improving data reliability and quality The Profile  You possess a degree in Computer Science or related field and 4 years experience in a Data Engineer or similar role. You are highly proficient in Python and MySQL, with expertise in Data Warehousing. You are analytical and have worked with large and complex data sets. You are a critical thinker and are continuously seeking growth and scalability.  The Employer  Our client is a leading cloud communications platform that provides business with wide range of solutions as well as high connectivity to hundreds of countries, allowing them to improve customer experience. Show more",Full-time,Information Technology,,Senior Data Engineer
Jamtangan.com,2 weeks ago,<25,Associate,"Information Technology and Services,Computer Software,Retail","Develop data model and maintain company metrics and dashboard Develop ETL data pipelines Integrate data from 3rd party APIs (e.g. Moengage, Facebook) Do automate testing to ensure data quality    Show more",Full-time,Information Technology,,Senior Data Engineer
Brainworx Solusi Integrasi,1 week ago,<25,Director,Information Technology and Services,"Max 35 years old - Able handle multiple project - Experience for 5 to 10 year in professional field certain high data utilization such as financial industry and then savvy in create and manage Data Pipeline with stack skill set and programming in Data Distribution  Layer, ODS, Legacy System, EDW, MDM, data lake, big data. Show more",Full-time,Information Technology,,Senior Data Engineer
Ajaib,2 weeks ago,<25,Associate,"Computer Software,Internet,Financial Services","Job Description Design, develop, test and maintain highly scalable data infrastructure (Analytics Architecture) Build high-performance integrated data pipelines (Integrated Customer View).    Show more",Full-time,Information Technology,,Senior Data Engineer
Flip,1 month ago,<25,Associate,"Information Technology and Services,Computer Software,Internet","Responsibilities Work closely with CTO to build the whole data pipelines + warehouses from scratch, you'll be the first member of this team Building and growing the team as the journey goes    Show more",Full-time,Information Technology,,Senior Data Engineer
Tjetak,1 week ago,<25,Associate,"Information Technology and Services,Computer Software,Internet","Build the whole data pipelines + warehouses from scratch, you'll be one of the first member for this team Building and growing the team as the journey goes Develop necessary scripts/mini-apps to run data analysis    Show more",Full-time,Information Technology,,Senior Data Engineer
Machtwatch,2 months ago,<25,Associate,Retail,"Job Description Develop data model and maintain company metrics and dashboard Develop ETL data pipelines Integrate data from 3rd party APIs (e.g. Moengage, Facebook) Do automate testing to ensure data quality Collaborate with management, business partners, analysts, developers, architects, and engineers to support data quality efforts. Translates complex functional and technical requirements into detailed design and high performing data applications Research or explore any new technologies to complement or improve requirements and current technologies  Requirements : Bachelor or Master Degree from reputable university Proven working experience as a Data Engineer at least 2 years. Bachelor Degree in Computer Science, IT, Mathematics or related field Strong proficiency in Python, R, and SQL Experience working with complex ETL and Datawarehouse will be a bonus Strong foundation in Data Query/Manipulation Have experience managing and designing data pipelines, debugging data issues. Excellent analytical and problem-solving skills Able to communicate with clarity and precision Ability to effectively present results. Passionate about startup, innovation and technology Adaptable to dynamic environment, lean and fast-paced environment Show more",Full-time,Information Technology,,Senior Data Engineer
Shipper,1 month ago,<25,Mid-Senior level,Internet,"Why Join Us?  Shipper is on a mission to invent a new standard for online shipping in Indonesia. We have assembled the largest asset-light delivery network to make shipping simple, reliable, and cost competitive. With over 17,000 islands, 2,500 logistics providers, and a fast growing e-commerce market, Indonesia is one of the most challenging markets to build a great online shipping experience and we are primed to be a part of the solution. We are privileged to have some of the best global investors including Lightspeed, Y Combinator, and others. We are looking for passionate and outstanding individuals to join our team.       Show more",Full-time,Other,,Senior Data Engineer
Pt SehatQ Harsana Emedika,1 month ago,<25,Director,"Health, Wellness and Fitness","REQUIREMENT: Bachelor Degree Majoring in Computer Science or other related Major Min. 6 years experience as Data Engineer, Machine Learning Engineer or Backend Engineer Preferably to have working experience in eCommerce or Tech company Required Skill : Python, Workflow Management Platform such as Airflow, Data Modeling for SQL and NoSQL, Application  Programming Interface, End-to-end system deployment, Data Visualization tools Preferable Skill : Machine Learning  Pipeline,  JVM language(s) such as Java and Scala, Kubernetes, Hadoop  Ecosystem, Streaming Platform such as Kafka JOB DESCRIPTION: Create and maintain end-to-end data pipeline for optimal data quality and reliability Integrate up-and-coming data management and software engineering technologies into existing data architecture Integrate impactful solutions to enrich existing products using machine learning Show more",Full-time,Engineering,,Senior Data Engineer
Mekari (PT. Mid Solusi Nusantara),1 month ago,<25,Associate,"Information Technology and Services,Computer Software,Internet","Mekari is Indonesia's no. 1 Software-as-a-Service (SaaS) company. Our mission is to empower businesses and professionals to progress effortlessly. Our products (Talenta, Sleekr, Jurnal, KlikPajak) have been used by tens of thousands of business in Indonesia.  To reach millions, we need more people like you: entrepreneurs, builders, owners inside the company who are eager to grow at scale. Join us to empower more businesses with technology.          Our team will review your application and will be in touch if your application is shortlisted to the next stage. If you do not hear from us in 30 days, we will keep your resume on file in case a relevant opportunity opens up. We wish you the best. Have a great day Show more",Full-time,Information Technology,,Senior Data Engineer
Flip,4 weeks ago,<25,Associate,"Information Technology and Services,Computer Software,Internet","Responsibilities Work closely with CTO to build the whole data pipelines + warehouses from scratch, you'll be the first member for this team Building and growing the team as the journey goes    Show more",Full-time,Information Technology,,Senior Data Engineer
PT Bank Net Indonesia Syariah Tbk,2 weeks ago,<25,Associate,"Information Technology and Services,Computer Software,Computer & Network Security","Job Description Design and build highly scalable pipeline (end-to-end) for large volumes of complex data processing and analysis Build and develop large data warehouses, high performance data processing pipelines, and ETL tools      Additional Information Show more",Full-time,Information Technology,,Senior Data Engineer
Ajaib,2 weeks ago,<25,Associate,"Computer Software,Internet,Financial Services",Job Description  & requirements  Job Description      Data Analysis Data Visualization Data Entry Data Warehouse Data Management Databases Big Data Data Mining Data Science Relational Databases Show more,Full-time,Information Technology,,Senior Data Engineer
Mekari (PT. Mid Solusi Nusantara),3 weeks ago,<25,Associate,"Information Technology and Services,Computer Software,Internet","Job Description  & requirements Mekari is Indonesia's no. 1 Software-as-a-Service (SaaS) company. Our mission is to empower businesses and professionals to progress effortlessly. Our products (Talenta, Sleekr, Jurnal, KlikPajak) have been used by tens of thousands of business in Indonesia.  To reach millions, we need more people like you: entrepreneurs, builders, owners inside the company who are eager to grow at scale. Join us to empower more businesses with technology.        Our team will review your application and will be in touch if your application is shortlisted to the next stage. If you do not hear from us in 30 days, we will keep your resume on file in case a relevant opportunity opens up. We wish you the best. Have a great day    Data Science Data Management Big Data Show more",Full-time,Information Technology,,Senior Data Engineer
Shipper,3 weeks ago,<25,Associate,Construction,"Why Join Us?  Shipper is on a mission to invent a new standard for online shipping in Indonesia. We have assembled the largest asset-light delivery network to make shipping simple, reliable, and cost competitive. With over 17,000 islands, 2,500 logistics providers, and a fast growing e-commerce market, Indonesia is one of the most challenging markets to build a great online shipping experience and we are primed to be a part of the solution. We are privileged to have some of the best global investors including Lightspeed, Y Combinator, and others. We are looking for passionate and outstanding individuals to join our team.         Show more",Full-time,Information Technology,,Senior Data Engineer
99.co,2 weeks ago,<25,Mid-Senior level,Real Estate,"We are looking for a Senior Data Engineer to join our diverse team of people who are passionate about taking the real estate industry into the age of technology through innovation and a desire to solve its multitude of challenges. What you'll do: Maintain, fix, and optimize including automation of end-to-end data flow or pipeline. Learn new innovative technologies to solve problems.  What you are/have/will be: Has 4-7 years experience as Senior Data Engineer. Familiar in technologies such as Python and SQL. Comfortable in working and hacking end-to-end data flow/pipeline (such as tracking tools and ETL process). Understand how to create metrics is a bonus. Passion in learning something new and challenging. Great team player and work ethics. Excellent communication skills, both in Bahasa Indonesia and English. Show more",Full-time,Information Technology,,Senior Data Engineer
Snaphunt,4 weeks ago,<25,Associate,"Computer Software,Internet,Financial Services","The Offer Opportunity within an exciting platform A dynamic and diverse work place Great exposure and learning opportunities       You possess a degree in Computer Science or related field and 4 years experience in a Data Engineer or similar role. You are highly proficient in Python and MySQL, with expertise in Data Warehousing. You are analytical and have worked with large and complex data sets. You are a critical thinker and are continuously seeking growth and scalability.    Our client is a leading cloud communications platform that provides business with wide range of solutions as well as high connectivity to hundreds of countries, allowing them to improve customer experience. Show more",Full-time,Information Technology,,Senior Data Engineer
PT. SURYA MADISTRINDO,13 hours ago,117,Entry level,Tobacco,"At PT Surya Madistrindo (Subsidiary of PT Gudang Garam Tbk), We make a lot of incredible things. But most importantly, we make the future, and are looking for people to join our Information Technology team of future shapers. When you join PT Surya Madistrindo, you become a member of our performance culture comprised of diverse leaders, thinkers, innovators, dreamers and doers who are changing the future. Our people are committed to each other and to the realization of our vision through their unique job functions. Our businesses embrace the challenges of innovation so that we define the future.   Show more",Full-time,Information Technology,,Data Engineer
kumparan.com,2 days ago,<25,Entry level,"Marketing and Advertising,Online Media,Internet","We are looking for a Data Engineer to join our Data team. As a data engineer, you will develop a big data infrastructure and framework supporting the data processing and analysis. Your work will be used by the Data Analyst and Data Scientist to solve a complex and big problem. If you are passionate about big data, love to develop a complex system, and like to learn new things we would like to meet you.   Show more",Full-time,Information Technology,,Data Engineer
Tata Consultancy Services,1 week ago,54,Mid-Senior level,Information Technology and Services,Direct message the job poster from Tata Consultancy Services Sorayya Hasbullah Hasur Talent Acquisition at Tata Consultancy Services - We Are Hiring!,Full-time,Information Technology,,Data Engineer
Danone,3 days ago,110,Not Applicable,"Consumer Goods,Food & Beverages,Food Production","About The Job  Data engineers are responsible for finding trends in data sets and developing algorithms to help make raw data more useful to the enterprise. Mainly tasked with transforming data into a format that can be easily analyzed, developing, maintaining, and testing infrastructures for data generation and work closely with data scientists        Danone's mission is bringing health through food to as many people as possible and we want to invite people to join the movement for a healthier world. We recognize the power people have to impact the world through their daily choices. Each time wa eat and drink, we vote for the world we want to live in. We believe a healthy body needs healthy food, and healthy food needs a healthy planet and this is what our new signature One Planet One Health embodies. Show more",Full-time,Information Technology,,Data Engineer
CIMB Niaga,1 week ago,124,Mid-Senior level,Banking,"Job Description:  Perform application system development related to Realtime Engine System, Big Data, Kafka, CDC, & Abinitio Platform Ensure that the development process is in accordance with the timeline        Show more",Full-time,Information Technology,,Data Engineer
ACT Foundation | Aksi Cepat Tanggap,1 week ago,<25,Entry level,Philanthropy,Direct message the job poster from ACT Foundation | Aksi Cepat Tanggap Muhammad Firdaus Keep Learning and Develop the Team | Data & Business Analyst | Think as a human and control the technology,Full-time,Information Technology,,Data Engineer
Flash Coffee,2 days ago,<25,Entry level,Food & Beverages,"Do you love coffee & tech put together? Then you just might love Flash Coffee.  Flash Coffee is South East Asia's fastest-growing tech-enabled coffee chain, blending an award-winning coffee menu with affordable prices available in-store and via our app.  Already operating in Jakarta, Bangkok, and Singapore and backed by Rocket Internet (known for incubating the likes of foodpanda, Lazada, Zalora, and more), and Delivery Hero, a global multinational in the online food-delivery space covering over 40+ countries, we have the ambition to become one of Asia's largest coffee chains.         Show more",Full-time,Information Technology,,Data Engineer
Xiaomi Indonesia,3 weeks ago,>200,Mid-Senior level,Internet,Direct message the job poster from Xiaomi Indonesia Syainindya Mekar Alipi Recruiter at Xiaomi Indonesia,Contract,"Analyst,Engineering",,Data Engineer
PT Bank Jago Tbk,1 week ago,<25,Entry level,Financial Services,"We are seeking a hands-on senior data engineer to help us build out and manage our data infrastructure, which will need to operate reliably at scale using a high degree of automation in setup and maintenance. The role will involve both setting up and managing the data infrastructure, as well as building and optimizing key ETL pipelines on both batch and streaming data. The ability to work with the teams from product, engineering, BI/analytics and data science is essential. Ownership needs to be taken of data model design and data quality. Automation and the use of data science to manage and improve data quality would be valued. The individual will also play active roles in ensuring data governance policies and tooling are implemented and adhered to  The individual will also need to be able to manage multiple stakeholders at an executive level and make well informed architectural choices when required. A high degree of empathy is required for the needs of the downstream consumers of the data artefacts produced by the data engineering team, i.e. the software engineers, data scientists, business intelligence analysts, etc and the individual needs to be able to produce transparent and easily navigable data pipelines. Value should be assigned to consistently producing high quality metadata to support discoverability and consistency of calculation and interpretation.  Candidates should have a wide set of experience across the following systems and languages:  Show more",Full-time,Information Technology,,Data Engineer
Accenture Southeast Asia,1 day ago,26,Mid-Senior level,"Information Technology and Services,Computer Software,Financial Services","Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and operations, with digital capabilities across all of these services. We combine unmatched experience and specialized capabilities across more than 40 industries - powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. With 505,000 people serving clients in more than 120 countries, Accenture brings continuous innovation to help clients improve their performance and create lasting value across their enterprises. Visit us at www.accenture.com.    There will never be a typical day at Accenture, but that’s why people love the dynamism. The opportunities and initiatives to make a difference, doing good for the public, are unlimited in the ever-changing digital landscape. Here are just a few of your day-to-day responsibilities:                                                                    You will also have opportunities to hone your functional skills and expertise in an area of specialization. We offer a variety of formal and informal training programs at every level to help you acquire and build specialized skills faster. Learning takes place both on the job and through formal training conducted online, in the classroom, or in collaboration with teammates. The sheer variety of work we do, and the experience it offers, provide an unbeatable platform from which to build a career.  Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law. Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law.  Show more",Full-time,"Design,Information Technology",,Data Engineer
ZebraX,3 weeks ago,80,Mid-Senior level,"Information Technology and Services,Computer Software",Direct message the job poster from ZebraX Charli Siahaan Human Capital Lead at ZebraX,Full-time,Information Technology,,Data Engineer
PT Kamoro Maxima Integra,2 months ago,68,Entry level,Information Technology and Services,"Company Description: We are an IT consulting company, based in Jakarta, who specialize in custom development and applications integration. Our customers vary from medium companies with just a few hundred users up to Fortune Global 500 companies with ten thousands users. Whether you just have an idea of how simple things should work, or you would like to develop a custom application for your company, or you are engaged in software product development, we would like to hear it from you. Our talented developers will help to change your great ideas into workable products just like what we did with other. Job Description: We are looking for Data Engineer to build, optimize system and maintain database to ensure that data can be efficiently collected and retrieved from the source when needed, cleaned and processed. For this role, you should know how to analyze system requirements and implement migration methods for existing data Show more",Full-time,Information Technology,,Data Engineer
entomo,2 weeks ago,<25,Entry level,"Marketing and Advertising,Information Technology and Services,Computer Software","Mapping developments according to the ETL specifications, for staging area data load & destination data load. Develop and implement ETL processes to move data from different sources to targets. Show more",Full-time,Information Technology,,Data Engineer
Moka,2 months ago,130,Entry level,"Information Technology and Services,Computer Software,Internet","We are one of the fastest-growing technology startups in Indonesia. We want to bring business ecosystem to everyone, and empower businesses to sell and grow.  At Moka, we believe in values, not rules. We believe that it's not about the suits or the time check-ins, but it's about delivering on our promises. We believe in taking ownership and challenging ideas. We believe in being part of the solutions, not the problem.  If you want to be part of a world-class team with a mission to empower businesses sell and grow, come join us.  Do you have a passion for data? Are you looking to push the frontiers of innovation and build the next Big Data product?  Presently, we are looking for Data Engineers who are keen to help us manage the end-to-end data pipeline and drive big data solutions.        Moka is a technology company based in Jakarta (Indonesia) providing cloud-based Point-of-Sale and payment solutions that empowers small and medium-sized businesses to better sell and grow.  We are a for businesses. From Point-of-Sale, inventory system, and customer relationship management, to payment acceptance, business capital, and fresh ingredient management.  We are trusted by more than 40,000 merchants, and have presence in more than 200 cities across Indonesia. Show more",Full-time,Information Technology,,Data Engineer
Bibit.id,3 weeks ago,156,Mid-Senior level,Financial Services,Direct message the job poster from Bibit.id Febrina Rachmayanti Recruitment and Employer Branding at Stockbit & Bibit.id,Full-time,Information Technology,,Data Engineer
DKATALIS (Digital Katalis),1 week ago,<25,Entry level,Information Technology and Services,"We are seeking a hands-on senior data engineer to help us build out and manage our data infrastructure, which will need to operate reliably at scale using a high degree of automation in setup and maintenance. The role will involve both setting up and managing the data infrastructure, as well as building and optimizing key ETL pipelines on both batch and streaming data. The ability to work with the teams from product, engineering, BI/analytics and data science is essential. Ownership needs to be taken of data model design and data quality. Automation and the use of data science to manage and improve data quality would be valued. The individual will also play active roles in ensuring data governance policies and tooling are implemented and adhered to  The individual will also need to be able to manage multiple stakeholders at an executive level and make well informed architectural choices when required. A high degree of empathy is required for the needs of the downstream consumers of the data artefacts produced by the data engineering team, i.e. the software engineers, data scientists, business intelligence analysts, etc and the individual needs to be able to produce transparent and easily navigable data pipelines. Value should be assigned to consistently producing high quality metadata to support discoverability and consistency of calculation and interpretation.  Candidates should have a wide set of experience across the following systems and languages:  Show more",Full-time,Information Technology,,Data Engineer
ITB Career Center,1 month ago,57,Entry level,"Information Technology and Services,Computer Software,Retail",Responsibility  Responsibilities Analyze and interpret all complex data on all target systems and provide resolutions to all data issues   Requirement      Show more,Full-time,Information Technology,,Data Engineer
Cobblestone Energy,1 week ago,<25,Entry level,Oil & Energy,"About Cobblestone  Cobblestone Energy is an independent trading firm. Founded in 2017, we are part of the next generation of companies defining the future of global commodity trading. Although we have experienced very strong growth so far, we are still near the start of our journey. We have ambitions to go a lot further.  Energy in one form or another is fundamental to almost all the world's economic activities. By understanding the demand, supply, and logistics of these commodities, we can better understand the world.  We specialise in the proprietary trading of the short-term wholesale electricity markets across Europe. We make use of advanced data analytics and extensive research to drive profitable decision making, trading enough electricity every day to power a small country and growing every day. Technology and risk management form the backbone of our business.  Over the years we have grown organically. As part of our journey to be the best in all markets we enter, we would like to welcome a Data Engineer into our team. They will already be on a successful career path and looking to take the next step with increased responsibility and be a part of our growth story.       At Cobblestone Energy we are on a mission to build the most advanced European electricity trading and analytics platform, with our technology being used by our teams of commercial traders to create significant value. Being the Data Engineer of our team, you will work on exciting challenges that come with large-scale data processing, automation, and analytics. We work in an agile and highly collaborative environment and challenge the norms of traditional business leadership. We are looking for enthusiastic and resourceful engineers who are passionate about building highly reliable and performance data processing solutions. You want to help the commercial team make data-informed decisions, have a curious mindset, and are motivated to understand our business better. Developing a strong domain knowledge of our industry over time is key to long term success in this role.  This is a rare opportunity to take a leading role in the growth of a major player in the European Electricity Markets. We are looking for someone who would be committed to the long-term success of the business. We operate in the European Energy markets, but our commercial trading operations are in Dubai, UAE. This role will be recruited and on-boarded remotely. Work shall be done from your home country with periodic travels to Dubai in which case Cobblestone Energy shall handle all visa and paperwork issues on your behalf.  We are looking for an experienced Data Engineer to join our Tech team at Cobblestone Energy. You will be responsible for the server side of our applications and you will be also participating in setting the right Infrastructure and developing the needed tools for our Analytics.  If you have excellent programming skills, strong problem-solving skills, and a passion for developing and improving applications utilizing cutting edge technologies, then we would like to meet you.  :  It can be in our Dubai office or remotely with periodic travel to Dubai    Jumeirah Business Centre 2, Cluster V, Jumeirah Lake Towers, Dubai, United Arab Emirates          Who is Elexon? For the UK market, they are the system administrator.  https://www.youtube.com/watch?v=A5j-S6VGqpw#action=share  Some general information about electricity trading arrangements in the UK  https://youtu.be/UDv04q3U6e0  Elexon sushi video. Tries to explain the balancing of the UK's electricity grid  https://vimeo.com/65768597  The videos above are UK centric, but our current interest is Europe wide. Feel free to research the other markets. This is a longer video that to me explains why there is such large opportunity going forward for the electricity traders who are able to efficiently analyse supply and demand fundamentals and move power between countries, for the benefit of all.  https://youtu.be/gacGuWjqKco  Once Europe is conquered, we do genuinely intend on going global. The American power markets look next on the plate, followed by the Australian and Japanese. Show more",Full-time,Information Technology,,Data Engineer
Xendit,1 week ago,<25,Entry level,"Computer Software,Internet,Financial Services","Xendit provides payment infrastructure across Southeast Asia, with a focus on Indonesia and the Philippines. We process payments, power marketplaces, disburse payroll and loans, provide KYC solutions, prevent fraud, and help businesses grow exponentially. We serve our customers by providing a suite of world-class APIs, eCommerce platform integrations, and easy to use applications for individual entrepreneurs, SMEs, and enterprises alike.  Our main focus is building the most advanced payment rails for Southeast Asia, with a clear goal in mind — to make payments across in SEA simple, secure and easy for everyone. We serve thousands of businesses ranging from SMEs to multinational enterprises, and process millions of transactions monthly. We've been growing rapidly since our inception in 2015, onboarding hundreds of new customers every month, and backed by global top-10 VCs. We're proud to be featured on among the fastest growing companies by Y-Combinator.    We are scaling a data engineering team that works on structuring Xendit's data in a way that useful products can be made.  We are looking for a Junior Data Engineer who will be a key part of our team and will help bring structure to vast amounts of data, making it digestible and build scalable data platforms that enable data products, business analytics, and data science. This role requires technical expertise and willingness to learn a wide variety of technologies to develop our batch and real-time data pipelines, data product APIs, and modern & scalable data infrastructure. If you are interested in working in a fast-paced environment and like being challenged with fun data problems to solve, come join us.        Show more",Full-time,Information Technology,,Data Engineer
Michael Page,2 months ago,40,Entry level,"Telecommunications,Biotechnology,Information Technology and Services","Data Engineer Work in a fast-growing startup Be one of the key pioneer of a lean team  About Our Client  One of the most popular Muslim community/social media apps, who is expanding in the Southeast Asian market. Backed by one of the largest Indonesia public company and Singapore-based private equity firm.               Show more",Full-time,Information Technology,,Data Engineer
Traveloka,1 week ago,<25,Entry level,Internet,"Traveloka is a Southeast Asian tech unicorn focused on travel and mobility. Currently we are rapidly expanding in the region. To achieve this, we rely on data-informed decision making, which is all the more crucial in Financial Service to drive our financial products.  As a Data Engineer in Financial Service, you will be responsible for enabling data-informed decision making processes to a wide range of users; data analysts, data scientists, product managers, designers, and business stakeholders. You will bear the responsibility of making sure that data infrastructure and tools are robust, scalable, and efficient in supporting data needs. It goes without saying that this role is highly valued, as no data organisation can exist or sustain without a solid engineering to build on top of.  While doing so, you'll be granted a degree of freedom to explore and create solutions to various problems. We never stop improving and we believe those that we carefully hire are more than capable to drive innovations, build sustainable solutions, and in turn improve this team to be a better data organisation.  Airflow, Kubernetes, Python, BigQuery, dbt, DataFlow, Python, FastApi, Github, Google Cloud Build                      Show more",Full-time,Information Technology,,Data Engineer
Flip.id,3 days ago,29,Mid-Senior level,"Financial Services,Banking,Information Technology and Services",Direct message the job poster from Flip.id Wulan Mayastika Human Resources Recruiter at Flip.id,Full-time,Engineering,,Data Engineer
